F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,file_path,folder
27.07994,0.118935674,25.33997,26.99776,29.064947,3.7249775,196.78734,154.6704,55.031532,62.68187,0.5393383,0.6229408,0.24501626,0.4558446,0.75785947,0.5128432,7.2184987,4.8823905,4.669517,4.066828,0.25388852,0.76251584,18.864685,0.70231044,10.937157,0.93530333,3.3671055,3.155916,1.2586557,7.9669914,0.046001513,1.8773949,1.15227,0.94609016,5.19403,0.68777996,1.499665,4.838338,23.524393,0.30432475,503.7956,0.24038675,1318.8701,0.15765722,-82.83346,-1.1183851,1521.2393,0.17733172,1108.3369,0.39858285,-91.23474,-0.9380894,2535.3352,0.10458002,989.5143,0.49735758,-95.0621,-0.8678411,-16.528717,-0.3330507,25.678963,0.24963489,-0.007497023,-5.011859,-0.030330036,-0.44681168,0.3237634,0.62542844,27.58975,0.29697078,13.358671,0.77380466,3.161419,3.9562156,-2.43446,-4.2460794,-11.542902,20.598356,-0.054945704,-0.008910997,0.14442441,2.8494804,1.7461385,0.33942306,0.29597563,0.22571428,0.33866486,-32.675117,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Interview-Task\audio_clip\01_CF56_1\01_CF56_1_1.wav,01_CF56_1
21.631353,0.20149088,16.655273,22.9556,25.664717,9.009443,124.653114,128.30737,91.30532,52.137997,0.70228046,0.5566003,0.42058063,0.60666215,0.8890085,0.4684279,9.704568,6.5818067,8.735596,6.5093236,1.2071623,2.164662,14.350099,1.100047,15.478088,0.65131533,5.419548,2.223201,4.1283574,3.3882322,0.10068792,1.0051758,1.3790932,0.83556545,-0.027179442,-134.50989,4.9348297,3.0146337,20.249805,0.3042165,447.4778,0.26060897,1139.1248,0.14594463,-92.4093,-1.0032626,1479.4565,0.14870678,904.6173,0.35914817,-100.97547,-0.84522736,2449.688,0.07176621,707.0093,0.46621987,-101.82046,-0.8289881,-15.881214,-0.41107014,22.641165,0.28996912,-0.016171928,-2.9076872,-0.027956879,-0.5518656,1.100712,2.4551265,22.64572,0.45514172,13.917107,0.7474436,5.872428,2.1900318,-0.83014995,-15.643431,-16.020178,24.362589,-0.070776686,-0.013608526,1.3376995,3.9285715,3.6363637,0.145,0.14465475,0.1211111,0.06314787,-19.803452,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Interview-Task\audio_clip\01_CF56_1\01_CF56_1_10.wav,01_CF56_1
25.330315,0.13559604,24.048603,26.20552,27.115047,3.0664444,123.594475,90.26428,100.54198,131.19223,0.47542453,0.41256127,0.31243408,0.4288649,0.64206874,0.32963467,4.723255,5.506465,3.0301862,2.4420824,0.24797189,0.5711712,25.59692,0.37577453,20.541025,0.44054568,6.7979193,1.4248141,-1.1506659,-8.667457,0.051247437,1.8786103,0.80431616,0.9137748,5.090651,0.7182008,2.2077718,2.0260613,29.73364,0.20481281,518.8924,0.26811373,1381.3799,0.16803639,-36.23309,-1.7991054,1536.7839,0.1887325,1199.2615,0.3110196,-51.691963,-1.140042,2599.0298,0.10746835,946.3016,0.45664153,-57.56057,-0.9767311,-21.233904,-0.23679423,30.50873,0.18512326,-0.016350139,-2.1140656,-0.034080133,-0.34373546,0.25448677,0.5811498,28.368351,0.25049788,21.961395,0.39432096,6.941121,1.4763329,-2.1841671,-4.614868,-18.229727,29.582952,-0.061469432,-0.008670902,0.21894537,2.919708,1.4760147,0.57124996,0.55437887,0.099999994,0.14803474,-33.78222,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Interview-Task\audio_clip\01_CF56_1\01_CF56_1_2.wav,01_CF56_1
26.17769,0.17077322,23.96563,26.004562,29.348701,5.383072,231.35548,279.40048,118.8578,219.0304,0.433,0.6614741,0.21294121,0.35318807,0.5900995,0.37715828,7.0107646,5.8447275,4.782809,3.9035194,0.27705055,0.9372527,18.190561,0.7016701,12.782058,0.7473424,3.1018639,2.9536445,1.1660838,9.1898,0.08292157,1.7106098,1.3365846,0.87035877,3.8974264,0.9373263,2.084463,2.173417,26.5413,0.28459466,484.8803,0.25480735,1322.0745,0.16311955,-96.760864,-0.96853775,1474.2352,0.17318837,1157.4473,0.3458549,-103.527245,-0.8306629,2546.1416,0.099874035,944.4698,0.43779582,-107.71961,-0.7621728,-18.834137,-0.30739516,29.391396,0.21611367,-0.020650666,-1.7272136,-0.030743701,-0.45515236,0.3749459,0.7749725,27.818117,0.28967157,16.500507,0.6182579,2.8599763,3.9224474,-3.0462282,-3.9780767,-13.744163,24.456707,-0.060001086,-0.007877768,0.15785727,2.6411357,1.9186239,0.27637932,0.24674217,0.24509433,0.36563006,-33.209232,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Interview-Task\audio_clip\01_CF56_1\01_CF56_1_3.wav,01_CF56_1
25.51206,0.18346559,23.414993,25.27644,28.989979,5.5749855,238.41496,383.05856,79.0307,108.16032,0.42047763,0.731148,0.20955771,0.33480668,0.55087847,0.34132075,6.2147284,4.603427,3.7053704,3.306989,0.21255907,0.80641687,15.877292,0.79432577,13.183629,0.7348987,4.3713374,2.2089446,1.7480572,5.747933,0.06842375,1.7518722,1.4333993,0.88961226,3.871008,1.1010255,2.0687451,4.1094966,25.528284,0.2699355,496.28482,0.24387227,1302.4276,0.15374571,-99.363594,-0.95160955,1530.9867,0.15860106,1178.1355,0.36027342,-107.76259,-0.80201864,2527.1152,0.1059479,1020.82263,0.48467797,-110.64657,-0.75523067,-18.54103,-0.26956972,27.497541,0.22850755,-0.015614409,-2.386509,-0.03208405,-0.3812958,0.29600754,0.605075,25.77542,0.31801504,17.172358,0.5741693,5.00451,2.3659985,-2.9179926,-3.6784203,-12.032622,21.89988,-0.052736387,-0.006545936,0.11900457,2.0576134,1.7001545,0.30030304,0.22705606,0.29881355,0.41679603,-33.724163,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Interview-Task\audio_clip\01_CF56_1\01_CF56_1_4.wav,01_CF56_1
26.587704,0.09605445,25.574314,26.959429,28.046848,2.4725342,148.23492,123.60883,29.651237,23.053865,0.5005094,0.55198395,0.22107059,0.44230986,0.7560217,0.5349511,6.1925545,4.2985415,3.6554239,3.1078575,0.23966165,0.77024704,20.84441,0.6674835,14.700752,0.64252496,2.752515,3.5322425,-2.5003505,-4.3908005,0.04596964,2.487809,1.0353838,0.98327035,5.9662,0.5639888,0.21594012,18.412727,27.620312,0.24058384,511.74298,0.24774843,1355.672,0.17449948,-83.3795,-1.1222974,1496.0729,0.19608738,1151.6136,0.37043583,-92.7993,-0.9211115,2592.6372,0.10958952,923.4504,0.43848974,-98.251236,-0.82423615,-19.85195,-0.2527009,29.990519,0.18351668,-0.0074343197,-4.9592857,-0.035675775,-0.38563326,0.30599877,0.628958,30.466776,0.24720584,18.731817,0.45872816,3.8929324,2.8339117,-6.9487596,-1.611341,-12.003727,22.662155,-0.050764926,-0.0079707615,0.13189432,3.1343284,1.1994003,0.498125,0.55251944,0.31562498,0.49892345,-32.70936,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Interview-Task\audio_clip\01_CF56_1\01_CF56_1_5.wav,01_CF56_1
27.040653,0.16045924,25.268034,27.501455,29.55557,4.2875366,242.14581,397.2221,84.93344,78.57831,0.6000992,0.57891375,0.28342578,0.532088,0.86130494,0.5778792,8.640224,5.2338023,6.1338086,3.953606,0.37354052,0.74153554,22.70349,0.58973,11.001761,0.9533909,0.55880237,19.05786,-0.58855486,-18.203016,0.07493645,1.7514277,1.3875095,0.8216398,4.110233,0.9357778,0.65220183,11.489826,25.546307,0.3439577,485.1709,0.25095665,1315.8173,0.14074254,-72.842,-1.2542303,1463.1074,0.16055539,1177.9456,0.34177703,-82.44851,-1.0165732,2490.2673,0.097922206,978.65076,0.43834004,-87.93958,-0.9065829,-17.778812,-0.3277524,28.533262,0.23629528,-0.005332217,-6.4625363,-0.031465314,-0.430244,0.4652222,0.6155772,30.377586,0.29247975,13.227433,0.7749531,0.20410419,58.993122,-4.1860375,-2.5598316,-13.685899,24.316671,-0.05448864,-0.008893188,0.19699997,3.2612011,1.802077,0.35542372,0.33647385,0.21,0.2652395,-30.655804,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Interview-Task\audio_clip\01_CF56_1\01_CF56_1_6.wav,01_CF56_1
28.88342,0.14637321,26.984324,28.119305,32.64705,5.6627254,176.60281,163.24464,89.53269,76.993004,0.48626426,0.7753549,0.21891625,0.3204045,0.7201849,0.5012687,8.706375,8.792308,6.661469,7.883882,0.35383472,1.0540582,15.3915825,0.71518767,10.455535,0.97651803,5.21831,1.6112735,4.887063,1.9189084,0.06830518,1.5173163,1.4066703,1.0592003,5.503275,0.7473777,2.6709783,1.999494,24.759247,0.35199866,515.34595,0.29650885,1359.5881,0.15029143,-132.49834,-0.69207036,1502.3607,0.17177308,1186.8312,0.37649503,-136.87302,-0.61245257,2526.6426,0.10019389,905.7296,0.47167474,-138.63118,-0.58725584,-18.4704,-0.27159342,27.346506,0.22313996,0.0044600014,8.315774,-0.029373005,-0.4263753,0.49005872,0.99886847,27.224499,0.33024237,16.054201,0.6261235,5.12404,2.3313146,-2.081466,-5.0882926,-17.13818,28.460083,-0.06807207,-0.0075991866,0.28093475,1.6336057,1.2910799,0.2681818,0.38848934,0.534,0.9735523,-30.769697,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Interview-Task\audio_clip\01_CF56_1\01_CF56_1_7.wav,01_CF56_1
27.521774,0.17447326,25.176031,27.681625,30.317307,5.1412754,140.99066,119.582695,305.1955,926.80634,0.51886594,0.67288035,0.21945186,0.42696625,0.7226052,0.5031534,8.125825,4.0902596,6.009313,5.0570054,0.32665136,0.8487983,20.200855,0.6382976,13.991677,0.6718046,3.5226097,2.7203107,-0.1849189,-59.21281,0.06412628,1.8937392,1.3261153,0.9037454,4.8017006,0.8424861,1.8487548,2.8268068,26.594484,0.2708268,518.7247,0.24400872,1331.9287,0.14785078,-83.97598,-1.1248817,1525.4281,0.19176896,1185.3113,0.38134217,-93.27448,-0.92176664,2572.7874,0.10949168,924.1268,0.4119538,-97.11844,-0.8520102,-19.70686,-0.27754322,28.544418,0.23295335,-0.0066786353,-5.9449253,-0.034271564,-0.40192,0.4368341,0.6754273,29.327337,0.24353871,16.468103,0.5999435,3.8257506,2.9570615,-4.7900567,-2.3238282,-14.827258,25.770092,-0.05765973,-0.008130274,0.16396944,2.5618374,1.5985792,0.36555555,0.35465512,0.25470588,0.43429613,-30.472116,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Interview-Task\audio_clip\01_CF56_1\01_CF56_1_8.wav,01_CF56_1
24.70966,0.17966911,21.62232,26.138414,27.971344,6.349024,181.1989,140.90152,155.48352,328.18222,0.517354,0.5317814,0.28036773,0.45379028,0.7401368,0.45976907,6.0830846,3.6972165,5.1634784,3.8471618,0.28476903,0.6629952,20.587736,0.59263414,12.2175865,0.81050617,2.2699358,4.427388,-0.71203214,-13.558526,0.08571241,1.8618494,1.4069175,0.8864361,3.36098,1.2464776,1.2749712,5.806745,24.576569,0.34983066,477.5166,0.21308765,1306.3899,0.16239272,-86.526,-1.0813318,1460.0243,0.16733482,1221.0684,0.33487922,-96.22742,-0.8861707,2460.7268,0.09874372,962.4852,0.4343638,-99.85343,-0.8229877,-18.603096,-0.29864085,27.767977,0.22561637,-0.010348238,-3.0188162,-0.0325926,-0.41497725,0.36854517,0.5041715,28.297997,0.30580837,16.162222,0.573068,2.7458456,4.364731,-4.4213157,-2.2367861,-12.292669,22.614859,-0.046598427,-0.007987782,0.16253233,2.8297582,1.784897,0.3228205,0.3054039,0.2174359,0.32551906,-32.86266,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Interview-Task\audio_clip\01_CF56_1\01_CF56_1_9.wav,01_CF56_1
