F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,file_path,group
26.94097,0.15455194,24.96088,27.246506,29.42463,4.463749,216.46092,212.16496,87.12164,134.6576,0.62524736,0.6815025,0.23236537,0.53146017,0.9583544,0.72598904,8.969923,5.4142036,5.4557405,3.7189193,0.29982194,0.809803,18.420813,0.76704895,13.704858,0.7080514,5.851395,1.8239052,0.31216246,35.75902,0.056127407,2.0910363,1.2623605,0.95914775,5.117019,0.7869599,2.7048802,2.2656877,25.248579,0.29938626,505.2438,0.2752387,1303.5706,0.17097434,-81.52735,-1.1297805,1537.6952,0.18359177,1032.7117,0.47850138,-90.18904,-0.9393133,2569.196,0.09892717,840.1948,0.5208899,-93.5839,-0.87420446,-16.133238,-0.3410278,24.000086,0.29766792,0.0012387352,28.51607,-0.03154999,-0.3897736,0.40150356,0.6086995,26.910597,0.36136597,16.939344,0.5307814,6.544296,1.8926687,-4.115862,-2.6330614,-10.280896,18.835701,-0.048129406,-0.006666836,0.1360832,2.5952044,1.8913198,0.3172388,0.2890292,0.20612903,0.24599276,-29.9901,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Reading-Task\audio\HC\01_CF56_1.wav,HC
21.54352,0.2933908,17.831001,20.877165,23.956844,6.125843,262.41064,647.05945,62.844376,79.03565,0.7400333,0.63421625,0.29135332,0.64902407,1.1294253,0.83807194,10.314393,5.89519,8.226115,5.7686253,0.40522945,0.7243723,16.87527,0.8777094,11.60332,0.89438415,15.247174,0.8699439,3.2950282,3.694492,0.05123616,1.2015984,1.2452135,0.92315555,2.535765,1.4341584,1.1828483,10.975308,17.383339,0.86778235,463.79987,0.40512693,1175.5625,0.19599074,-70.55329,-1.250104,1481.8103,0.17799154,862.69464,0.3963696,-79.91638,-1.0138978,2460.5496,0.11293906,714.80365,0.3441989,-78.924706,-1.0233749,-15.250754,-0.5367171,21.57419,0.4536676,-0.014281339,-2.8984487,-0.021467688,-0.62903607,0.51659286,0.51910704,23.413,0.5220952,12.990374,0.825445,17.79758,0.82304686,1.792913,7.66739,-8.365252,17.335857,-0.049250454,-0.0029799966,0.16793749,3.5630736,1.6750721,0.39784947,0.4360276,0.19505882,0.31210715,-28.606586,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Reading-Task\audio\HC\02_CM57_2.wav,HC
33.931984,0.08492479,32.50506,34.039906,35.56714,3.0620804,125.93281,114.17314,31.238766,44.80504,0.77556103,0.7168464,0.2753327,0.64789367,1.1761351,0.9008024,12.768468,7.5962873,11.161669,6.8978863,0.40982753,0.89333445,15.875941,0.8421846,9.086278,1.1544023,5.836689,2.3642313,-3.135068,-4.063519,0.032323424,2.012022,1.1602768,0.91715753,7.8789697,0.48145398,2.849392,3.045719,17.989998,0.53692275,497.53265,0.31039217,1227.6863,0.21146627,-76.82182,-1.1616588,1580.3278,0.17123665,926.6846,0.5462607,-81.80772,-0.9939268,2589.9497,0.1044932,981.15894,0.67227226,-83.13133,-0.9651495,-13.537282,-0.44997558,21.484678,0.40613085,0.0013826116,28.33449,-0.0269571,-0.45769554,0.5196596,0.7483927,22.452055,0.4455173,9.029188,1.2239213,5.781035,2.7539482,-7.2963905,-1.7861208,-9.925115,19.200132,-0.054042522,-0.0071369917,0.19570279,3.5651324,2.4509804,0.26024,0.23677653,0.14363636,0.22512111,-28.292057,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Reading-Task\audio\HC\03_CF30_3.wav,HC
31.302532,0.0904085,29.217838,31.597858,33.34995,4.1321106,162.80965,312.7903,29.461159,48.3948,0.894768,0.7910097,0.32795444,0.7062783,1.3099267,0.98197234,15.4326725,9.263947,13.329984,9.56437,0.49481246,1.1032912,20.053648,0.8047941,5.50154,2.4530172,0.42569163,33.93046,-5.622935,-2.5663183,0.031056764,1.7852911,1.2989274,0.81740135,6.3896785,0.5854642,1.636232,4.7426867,19.290913,0.4735517,428.22742,0.2979727,1176.0178,0.18993448,-55.279675,-1.5640352,1413.2516,0.15037782,885.9055,0.3761841,-61.121746,-1.291241,2385.8877,0.094928525,731.66376,0.40770498,-63.766434,-1.2120832,-12.141155,-0.5179308,20.031813,0.41048515,0.029954407,1.2486205,-0.02651566,-0.46718785,0.6047949,0.9566326,26.69686,0.40540937,4.137275,3.2586555,-0.1339064,-115.82673,-9.171827,-1.532607,-5.6687274,13.6757965,-0.029375508,-0.007919589,0.17405207,3.8736455,1.77747,0.40935066,0.3995625,0.14724638,0.18062599,-25.698536,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Reading-Task\audio\HC\04_CF57_3.wav,HC
32.695953,0.14862388,29.940346,32.752552,35.854897,5.914551,304.26382,540.8873,269.61377,846.96094,0.79065627,0.6450681,0.31839675,0.6984289,1.2181731,0.8997764,13.6611805,7.2041802,11.353096,7.5272694,0.6811098,1.9802624,21.389656,0.68100303,13.272808,0.9141682,2.5098693,5.892047,-15.694739,-1.1345987,0.042056683,1.8620541,1.4438843,0.81302077,6.3892837,0.6623628,3.070399,4.7280054,24.916546,0.7119966,506.0964,0.3415892,1223.9474,0.16852489,-60.17441,-1.4374998,1562.5303,0.22638258,953.9838,0.44520384,-64.91544,-1.1755992,2602.9924,0.119906604,792.2016,0.5600596,-69.32096,-1.0577431,-17.266724,-0.38043717,26.429634,0.30737516,0.012665834,3.544244,-0.033568457,-0.39303675,0.7855169,1.6535504,26.843067,0.39535996,12.711134,0.94009006,1.7755735,8.928875,-21.65321,-0.73657066,-13.317573,22.353348,-0.052998055,-0.0106898695,0.38398963,4.3773584,2.3431597,0.30795696,0.3002671,0.11894737,0.14963621,-24.560764,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Reading-Task\audio\HC\05_CF41_3.wav,HC
31.115355,0.107273854,28.740969,30.841526,33.489014,4.748045,93.00931,120.07691,69.02267,165.53972,0.74373317,0.6248099,0.35709068,0.61956936,1.0801698,0.7230791,12.100391,6.1255016,8.42405,5.3790355,0.49101985,0.80856466,21.54735,0.6760293,10.82094,0.95858747,10.247044,1.3945364,-6.2627087,-2.1077638,0.032165498,1.6984779,1.1567357,0.8315746,6.854872,0.48108032,1.13866,7.1228113,21.90042,0.39388824,537.29333,0.27446926,1299.4583,0.16108279,-64.45586,-1.3209534,1634.2539,0.17820968,1041.0592,0.5181828,-74.26619,-1.0375291,2630.5864,0.10171238,899.88934,0.53352785,-76.19202,-0.9913413,-17.793856,-0.3317553,25.914005,0.31698522,-0.008918875,-4.412903,-0.03343516,-0.37160215,0.5844418,0.7239946,28.32103,0.32850656,11.908404,0.907722,11.949981,1.274108,-9.188957,-1.4993539,-10.471961,20.109535,-0.049934275,-0.011514724,0.26260158,4.150454,2.2289548,0.3098058,0.3100015,0.12536082,0.1196736,-28.07338,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Reading-Task\audio\HC\06_CF44_2.wav,HC
33.17863,0.16916534,29.388023,32.735634,37.202065,7.814041,320.44647,690.7061,101.81963,152.5566,1.0891956,0.7693286,0.37187812,0.87359446,1.6648985,1.2930204,20.874578,12.867401,13.725826,9.7609005,1.0472804,1.6901227,13.683416,0.9998066,14.208366,0.8279822,5.8575206,2.5411248,-2.4054837,-5.850746,0.036042515,1.7373103,1.264768,0.8272466,6.8393755,0.6164323,7.3554134,1.6787738,20.567293,0.6154331,475.3371,0.34653097,1187.0387,0.1985098,-79.064384,-1.1798321,1536.7734,0.17949745,914.8318,0.4888421,-81.3139,-1.0079783,2515.291,0.10550303,811.10736,0.48988175,-80.688835,-1.0173513,-15.012738,-0.5573358,21.687014,0.45418873,4.5627323e-05,963.513,-0.029048536,-0.5039861,1.1675309,1.3450848,19.402304,0.5447543,15.8786335,0.71962184,5.913363,2.8714254,-6.4380064,-2.2285376,-10.983931,19.96431,-0.051222723,-0.008677086,0.8078049,3.2020118,2.4161074,0.2647222,0.23210676,0.15411764,0.15430197,-21.263685,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Reading-Task\audio\HC\07_CF50_2.wav,HC
32.25166,0.12481517,30.299503,32.05919,34.83464,4.535137,302.1694,561.37683,52.133415,61.23563,0.6130582,0.59420604,0.28366157,0.53633356,0.8907438,0.60708225,8.8009405,5.180063,5.970995,4.1308312,0.32430393,1.4695538,15.591145,0.790551,9.055202,1.1039498,1.5553302,8.368901,-2.3899646,-4.881614,0.030608648,1.8765851,1.1124395,0.937806,6.9712377,0.5694662,3.589584,3.0542948,22.26805,0.5178838,563.4894,0.30871558,1319.8566,0.19467837,-85.728455,-1.1009773,1632.1509,0.17215678,1037.7338,0.4985735,-91.12233,-0.94796497,2635.3823,0.114113584,919.2334,0.52121264,-92.82448,-0.9128408,-14.330664,-0.47702888,22.509804,0.40099636,0.015973067,2.4791737,-0.03471489,-0.3865213,0.3917965,1.0936824,22.446077,0.40320542,11.340237,0.88345736,1.4165723,11.072905,-6.7475924,-1.8005886,-8.12003,17.055561,-0.04016299,-0.008546292,0.22026904,3.1119092,2.185956,0.26527396,0.21945827,0.18679103,0.27456233,-30.640543,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Reading-Task\audio\HC\08_CF42_2.wav,HC
32.56497,0.11351826,29.563423,32.23459,35.53871,5.9752884,150.26218,262.2498,102.69584,271.6855,0.577645,0.64982104,0.28026757,0.48044965,0.82502264,0.5447551,9.642457,5.7588134,7.2490134,4.6877813,0.31066504,0.8815085,21.547695,0.7004872,11.753605,1.0497776,-0.39326495,-32.64459,-10.9542885,-1.3039016,0.031989027,1.3353859,1.2692634,0.8284521,7.0496964,0.4860123,1.4843434,5.0230284,24.697712,0.32238975,499.636,0.29656827,1251.0416,0.17216937,-54.76443,-1.5392345,1523.7286,0.21047966,998.3393,0.4036151,-62.610813,-1.198126,2589.3716,0.10163455,786.1146,0.5156116,-67.08893,-1.074993,-17.067102,-0.39577404,26.14172,0.29327428,0.011697835,3.092358,-0.033850126,-0.4264194,0.36946997,0.77922153,27.281952,0.4064149,11.853869,1.0303746,-0.4861332,-28.000582,-15.168534,-0.8530139,-11.363218,21.310257,-0.043206293,-0.007812748,0.12991744,4.160548,2.082823,0.35364702,0.328393,0.11906666,0.11573732,-31.674116,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Reading-Task\audio\HC\09_CF56_3.wav,HC
31.230007,0.13496321,28.254595,31.162647,34.383133,6.128538,85.258,200.43054,46.025127,81.93921,1.1019237,0.63573754,0.50119406,0.95572555,1.6450369,1.1438429,16.913044,9.292633,11.963583,7.3648453,0.587613,0.9664918,16.77891,0.92866987,9.314796,1.1060796,9.529004,1.2830881,-7.3320904,-1.9472743,0.029620621,1.3179733,1.1099623,0.8984405,6.781362,0.5609052,2.4413247,3.526031,18.382437,0.53199005,444.33847,0.3063488,1138.371,0.20658381,-58.130558,-1.4554478,1475.8523,0.17368759,819.6622,0.4771129,-66.402016,-1.1379117,2479.866,0.089281596,695.8225,0.5393286,-66.43908,-1.1326015,-13.539302,-0.48385683,19.299898,0.41015917,0.019143905,1.9656125,-0.030677525,-0.38206017,0.67437005,0.75403124,23.054338,0.47807792,9.384194,1.1056008,11.035951,1.122582,-10.663649,-1.3449534,-6.039018,13.958679,-0.038279805,-0.009924836,0.339414,3.8360944,2.0510583,0.3530851,0.33560365,0.12552941,0.13026221,-24.788273,C:\Users\Elise\Desktop\COURS\S9 (papapapaaaaa)\Speech Processing\Project\Androids-Corpus\Androids-Corpus\Reading-Task\audio\HC\10_CF51_2.wav,HC
